id,name
1,아스코푸정(히벤즈산티페피딘)
2,진셀몬정
3,저니스타서방정8밀리그램(히드로모르폰염산염)
4,씨즈날정(세티리진염산염)
5,라니타드정
6,알레기살정10밀리그람(페미로라스트칼륨)
7,페나투신캡슐200밀리그람(구아이페네신)
8,로부펜정(록소프로펜나트륨수화물)
9,메트그린에스알정500밀리그람(염산메트포르민)
10,도네오연질캡슐(수출용)
11,액시드캡슐150밀리그람(니자티딘)
12,푸루나졸캡슐50밀리그램(플루코나졸)
13,아큐네탄연질캡슐10밀리그램(이소트레티노인)
14,마이드린캡슐
15,데놀정(비스무트시트르산염칼륨)
16,드로피진정(레보드로프로피진)
17,우루사정100밀리그램(우르소데옥시콜산)
18,베아제정
19,대웅아스코르빈산정1000밀리그람
20,다이아벡스정1000밀리그램(메트포르민염산염)
21,대웅심바스타틴정20밀리그람(심바스타틴)(수출명:Starzoko20mg)
22,리버골드에프연질캡슐
23,대웅심바스타틴정40밀리그람(수출명:Starzoko40mg)
24,로라비드캡슐200밀리그람(로라카베프)
25,대웅세파록실캡슐(세파드록실수화물)
26,대웅알렌드로네이트정70밀리그램(알렌드론산나트륨수화물)
27,대웅아테놀롤정50밀리그램
28,뉴란타에이정
29,목시클정187.5밀리그람(아목시실린수화물.클라부란산칼륨)(수출용)
30,게므론골드정
31,시클러MR서방정375밀리그램(세파클러수화물)
32,페노프론300밀리그램캡슐(페노프로펜칼슘)
33,코큐텐화이트정
34,씨콜드코프정
35,베아베린정(염산프로피베린)
36,알비스정
37,게므론코큐텐정
38,대웅실로스타졸정50밀리그램
39,네버펜틴캡슐300밀리그램(가바펜틴)
40,목시클정625밀리그램(아목시실린·클라불란산칼륨)
41,훼로씨연질캡슐
42,"타이레놀8시간이알서방정(아세트아미노펜)(수출명:Tylenol Arthritis Tablet,Tylenol8Hours,Tylenol8hour,Tylenol ER extended release Caplet,Tylenol8 Hour Extended Release Caplet)"
43,베아코에프정
44,니코스탑트로키(이주석산니코틴이수화물)
45,루자탄플러스정
46,상트로스정(염화트로스피움)
47,아미콜린연질캡슐
48,프라놀정40밀리그램(프로프라놀롤염산염)
49,새로콤연질캡슐
50,스타프라정10밀리그램(프라바스타틴나트륨)(수출용)
51,젠가드에프캡슐
52,타나칸정(은행엽엑스)
53,아리셉트정5밀리그램(도네페질염산염)
54,아리셉트정10밀리그램(도네페질염산염)
55,헤모포르테캡슐(글루콘산제이철나트륨복염)
56,대웅프리미돈정
57,대웅프로프라놀롤캡슐160mg(스페로이드형 염산프로프라놀롤)
58,대웅프로프라놀롤캡슐80mg(스페로이드형 염산프로프라놀롤)
59,우루사정200밀리그램(우르소데옥시콜산)
60,대웅텐스타텐100밀리그램캡슐(염산시클레타닌)
61,페리바정
62,아사콜디알정400밀리그람(메살라민)
63,에어탈정(아세클로페낙)
64,엘도스캡슐(에르도스테인)
65,메치코발정(메코발라민)
66,글라케이연질캡슐(메나테트레논)
67,소프트모닝정(센노사이드칼슘)
68,올메텍정40밀리그램(올메사르탄메독소밀)
69,씨프러스정250밀리그람(염산시프로플록사신)
70,대웅토피라메이트정100밀리그램
71,올메텍플러스정20/12.5밀리그램
72,베아프릴정2.5밀리그람(라미프릴)
73,알게이트정(알마게이트)
74,레티잘정(레보세티리진염산염)
75,태준팩타이트100밀리그람정(염산메칠시스테인)
76,씨엠지모사프리드정(모사프리드시트르산염수화물)
77,덴트리올캡슐
78,바크론정5밀리그람(바클로펜)
79,훼로진-에프정
80,라프렌연질캡슐50밀리그램(클로파지민)
81,발탄플러스정160/12.5밀리그램
82,리버엔연질캡슐
83,그린노즈캡슐
84,비타카오에프정
85,모나리드정1밀리그램(피나스테리드)
86,코다론정(아미오다론염산염)
87,액티엠정(피오글리타존염산염)
88,로지텐정100mg(로사르탄칼륨)
